ก.	k @@ 
คลาสสิค	kl aa t^ s i k^ 
คลี่คลาย	khl ii khl aa j^ 
คลื่น	khl vv n^ 
คลุกคลี	khl u k^ khl ii 
คลุม	khl u m^ 
คลุมเครือ	khl u m^ khr vva 
คล่อง	khl @ ng^ 
คล่องแคล่ว	khl @ ng^ khl x w^ 
คล้อยตาม	khl @@ j^ t aa m^ 
คล้าย	khl aa j^ 
คล้ายคลึง	khl aa j^ khl v ng^ 
คล้ำ	khl a m^ 
ควง	kh uua ng^ 
ควบกล้ำ	kh uua p^ kl a m^ 
ควบคุม	kh uua p^ kh u m^ 
ควบคู่	kh uua p^ kh uu 
ควร	kh uua n^ 
ความ	khw aa m^ 
ความคิด	khw aa m^ kh i t^ 
ความจริง	khw aa m^ c i ng^ 
ความจำ	khw aa m^ c a m^ 
ความดัน	khw aa m^ d a n^ 
ความผิด	khw aa m^ ph i t^ 
ความหมาย	khw aa m^ m aa j^ 
ความเห็น	khw aa m^ h e n^ 
คอมพิวเตอร์	kh @ m^ ph i w^ t qq 
คอมมิวนิสต์	kh @ m^ m i w^ n i t^ 
คอมมิวนิสต์	kh @@ m^ m i w^ n i t^ 
คอย	kh @@ j^ 
คอร์รัปชั่น	kh @@ r a p^ ch a n^ 
คะ	kh a 
คะเน	kh a n ee 
คะแนน	kh a n xx n^ 
คะแนนเสียง	kh a n xx n^ s iia ng^ 
คัด	kh a t^ 
คัดค้าน	kh a t^ kh aa n^ 
คัดลอก	kh a t^ l @@ k^ 
คัดเลือก	kh a t^ l vva k^ 
คับ	kh a p^ 
คับข้อง	kh a p^ kh @ ng^ 
คับแคบ	kh a p^ kh xx p^ 
คับใจ	kh a p^ c a j^ 
คัมภีร์	kh a m^ ph ii 
คั่งค้าง	kh a ng^ kh aa ng^ 
คาด	kh aa t^ 
คาดการณ์	kh aa t^ k aa n^ 
คาดคิด	kh aa t^ kh i t^ 
คาดฝัน	kh aa t^ f a n^ 
คาดหมาย	kh aa t^ m aa j^ 
คาดหวัง	kh aa t^ w a ng^ 
คาถา	kh aa th aa 
คาน	kh aa n^ 
คาบเกี่ยว	kh aa p^ k iia w^ 
คารามาซอฟ	kh aa r aa m aa s @@ p^ 
คาร์บอนไดออกไซด์	kh aa b @ n^ d a j^ z @ k^ s aa j^ 
คาโบนิคแอสิด	kh aa b oo n i k^ z xx s i t^ 
คาโปน	kh aa p oo n^ 
คำ	kh a m^ 
คำขาด	kh a m^ kh aa t^ 
คำตอบ	kh a m^ t @@ p^ 
คำถาม	kh a m^ th aa m^ 
คำนึง	kh a m^ n v ng^ 
คำปรึกษา	kh a m^ pr v k^ s aa 
คำพูด	kh a m^ ph uu t^ 
คำศัพท์	kh a m^ s a p^ 
คำสอน	kh a m^ s @@ n^ 
คำสั่ง	kh a m^ s a ng^ 
คำอธิบาย	kh a m^ z a th i b aa j^ 
คิด	kh i t^ 
คิดค้น	kh i t^ kh o n^ 
คิดถึง	kh i t^ th v ng^ 
คิดเห็น	kh i t^ h e n^ 
คิว	kh i w^ 
คีบ	kh ii p^ 
คึกฤทธิ์	kh v k^ r i t^ 
คืน	kh vv n^ 
คืบหน้า	kh vv p^ n aa 
คือ	kh vv 
คุก	kh u k^ 
คุกคาม	kh u k^ kh aa m^ 
คุณ	kh u n^ 
คุณค่า	kh u n^ kh aa 
คุณธรรม	kh u n^ n a th a m^ 
คุณประโยชน์	kh u n^ pr a j oo t^ 
คุณภาพ	kh u n^ n a ph aa p^ 
คุณลักษณะ	kh u n^ n a l a k^ s a n a 
คุณศัพท์	kh u n^ n a s a p^ 
คุณสมบัติ	kh u n^ n a s o m^ b a t^ 
คุณหญิง	kh u n^ j i ng^ 
คุณูปการ	kh u n uu p a k aa n^ 
คุม	kh u m^ 
คุรุสภา	kh u r u s a ph aa 
คุ้น	kh u n^ 
คุ้นเคย	kh u n^ kh qq j^ 
คุ้ม	kh u m^ 
คุ้มกัน	kh u m^ k a n^ 
คุ้มครอง	kh u m^ khr @@ ng^ 
คุ้มค่า	kh u m^ kh aa 
คูน	kh uu n^ 
คูเวต	kh uu w ee t^ 
คู่	kh uu 
คู่ครอง	kh uu khr @@ ng^ 
คู่ค้า	kh uu kh aa 
คู่มือ	kh uu m vv 
ค่อน	kh @@ n^ 
ค่อนข้าง	kh @ n^ kh aa ng^ 
ค่อย	kh @ j^ 
ค่อย	kh @@ j^ 
ค่า	kh aa 
ค่าจ้าง	kh aa c aa ng^ 
ค่านิยม	kh aa n i j o m^ 
ค่าย	kh aa j^ 
ค่าเช่า	kh aa ch a w^ 
ค่าแรง	kh aa r xx ng^ 
ค่าใช้จ่าย	kh aa ch a j^ c aa j^ 
ค่ำคืน	kh a m^ kh vv n^ 
ค้น	kh o n^ 
ค้นคว้า	kh o n^ khw aa 
ค้นพบ	kh o n^ ph o p^ 
ค้นหา	kh o n^ h aa 
ค้า	kh aa 
ค้าง	kh aa ng^ 
ค้าน	kh aa n^ 
ค้ำ	kh a m^ 
ฆ่า	kh aa 
งง	ng o ng^ 
งด	ng o t^ 
งดงาม	ng o t^ ng aa m^ 
งดเว้น	ng o t^ w e n^ 
งบ	ng o p^ 
งบประมาณ	ng o p^ pr a m aa n^ 
งมงาย	ng o m^ ng aa j^ 
งอก	ng @@ k^ 
งอกงาม	ng @@ k^ ng aa m^ 
งาน	ng aa n^ 
งาม	ng aa m^ 
งูเห่า	ng uu h a w^ 
ง่าม	ng aa m^ 
ง่าย	ng aa j^ 
ง่ายดาย	ng aa j^ d aa j^ 
จ.	c @@ 
จ.	c a ng^ w a t^ 
จง	c o ng^ 
จงรัก	c o ng^ r a k^ 
จงใจ	c o ng^ c a j^ 
จด	c o t^ 
จดจำ	c o t^ c a m^ 
จดหมาย	c o t^ m aa j^ 
จดหมายเหตุ	c o t^ m aa j^ h ee t^ 
จตุจักร	c a t u c a k^ 
จน	c o n^ 
จนกระทั่ง	c o n^ kr a th a ng^ 
จนกว่า	c o n^ kw aa 
จนถึง	c o n^ th v ng^ 
จบ	c o p^ 
จปร.	c @@ p @@ r @@ 
จม	c o m^ 
จมูก	c a m uu k^ 
จมูก	c a m uu k^ 
จรรยา	c a n^ j aa 
จระเข้	c @@ r a kh ee 
จริง	c i ng^ 
จริงจัง	c i ng^ c a ng^ 
จริงอยู่	c i ng^ j uu 
จริงใจ	c i ng^ c a j^ 
จริยธรรม	c a r i j a th a m^ 
จริยศาสตร์	c a r i j a s aa t^ 
จริยศึกษา	c a r i j a s v k^ s aa 
จอ	c @@ 
จอด	c @@ t^ 
จอมพล	c @@ m^ ph o n^ 
จอร์จ	c @@ t^ 
จะ	c a 
จัก	c a k^ 
จักร	c a k^ 
จักรวาล	c a k^ kr a w aa n^ 
จักรๆ	c a k^ c a k^ 
จังหวะ	c a ng^ w a 
จังหวัด	c a ng^ w a t^ 
จัด	c a t^ 
จัดการ	c a t^ k aa n^ 
จัดตั้ง	c a t^ t a ng^ 
จัดสรร	c a t^ s a n^ 
จัดหา	c a t^ h aa 
จัดเจน	c a t^ c ee n^ 
จัดแต่ง	c a t^ t x ng^ 
จัดแสดง	c a t^ s a d xx ng^ 
จันทร์	c a n^ 
จันท์เทวี	c a n^ th ee w ii 
จับ	c a p^ 
จับกุม	c a p^ k u m^ 
จับคู่	c a p^ kh uu 
จับต้อง	c a p^ t @ ng^ 
จาก	c aa k^ 
จากนั้น	c aa k^ n a n^ 
จาง	c aa ng^ 
จาน	c aa n^ 
จารีต	c aa r ii t^ 
จารึก	c aa r v k^ 
จำ	c a m^ 
จำกัด	c a m^ k a t^ 
จำคุก	c a m^ kh u k^ 
จำนงศรี	c a m^ n o ng^ s ii 
จำนน	c a m^ n o n^ 
จำนวน	c a m^ n uua n^ 
จำนวนเต็ม	c a m^ n uua n^ t e m^ 
จำยอม	c a m^ j @@ m^ 
จำลอง	c a m^ l @@ ng^ 
จำหน่าย	c a m^ n aa j^ 
จำเจ	c a m^ c ee 
จำเป็น	c a m^ p e n^ 
จำแนก	c a m^ n xx k^ 
จิต	c i t^ 
จิตรกร	c i t^ tr a k @@ n^ 
จิตรกรรม	c i t^ tr a k a m^ 
จิตวิทยา	c i t^ t a w i t^ th a j aa 
จิตวิเคราะห์	c i t^ t a w i khr @ 
จิตสำนึก	c i t^ s a m^ n v k^ 
จิตเภท	c i t^ t a ph ee t^ 
จิตเวช	c i t^ t a w ee t^ 
จิตแพทย์	c i t^ t a ph xx t^ 
จิตใจ	c i t^ c a j^ 
จินดา	c i n^ d aa 
จิรโรจน์	c i r a r oo t^ 
จิ่งกังซาน	c i ng^ k a ng^ s aa n^ 
จี	c ii 
จีน	c ii n^ 
จีเซลซาฟ	c ii s e l^ s aa f^ 
จีเมนซาฟ	c ii m ee n^ s aa f^ 
จี้	c ii 
จึง	c v ng^ 
จุด	c u t^ 
จุดจบ	c u t^ c o p^ 
จุดประสงค์	c u t^ pr a s o ng^ 
จุดมุ่งหมาย	c u t^ m u ng^ m aa j^ 
จุดยืน	c u t^ j vv n^ 
จุดสำคัญ	c u t^ s a m^ kh a n^ 
จุดหมาย	c u t^ m aa j^ 
จุดเด่น	c u t^ d e n^ 
จุลจอมเกล้า	c u n^ l a c @@ m^ kl aa w^ 
จุลละทรัพย์	c u n^ l a s a p^ 
จูงใจ	c uu ng^ c a j^ 
จู่โจม	c uu c oo m^ 
จ่อ	c @@ 
จ่าย	c aa j^ 
จ้อย	c @ j^ 
จ้าง	c aa ng^ 
จ๋อย	c @ j^ 
ฉกรรจ์	ch a k a n^ 
ฉบับ	ch a b a p^ 
ฉลาก	ch a l aa k^ 
ฉลาด	ch a l aa t^ 
ฉลุ	ch a l u 
ฉวย	ch uua j^ 
ฉะนั้น	ch a n a n^ 
ฉัน	ch a n^ 
ฉันนั้น	ch a n^ n a n^ 
ฉันใด	ch a n^ d a j^ 
ฉับพลัน	ch a p^ phl a n^ 
ฉับไว	ch a p^ w a j^ 
ฉาก	ch aa k^ 
ฉาบฉวย	ch aa p^ ch uua j^ 
ฉาย	ch aa j^ 
ฉีดยา	ch ii t^ j aa 
ฉุกคิด	ch u k^ kh i t^ 
ฉ้อฉล	ch @@ ch o n^ 
ชน	ch o n^ 
ชนชั้น	ch o n^ ch a n^ 
ชนชั้นนำ	ch o n^ ch a n^ n a m^ 
ชนชาติ	ch o n^ ch aa t^ 
ชนบท	ch o n^ n a b o t^ 
ชนวน	ch a n uua n^ 
ชนะ	ch a n a 
ชนิด	ch a n i t^ 
ชม	ch o m^ 
ชมชอบ	ch o m^ ch @@ p^ 
ชมเชย	ch o m^ ch qq j^ 
ชรา	ch a r aa 
ชลบุรี	ch o n^ b u r ii 
ชลประทาน	ch o n^ pr a th aa n^ 
ชวน	ch uua n^ 
ชวลิต	ch a w a l i t^ 
ชวา	ch a w aa 
ชอตต์	ch @ t^ 
ชอบ	ch @@ p^ 
ชอบธรรม	ch @@ p^ th a m^ 
ชอบพอ	ch @@ p^ ph @@ 
ชะงัก	ch a ng a k^ 
ชะงักงัน	ch a ng a k^ ng a n^ 
ชะตา	ch a t aa 
ชะตากรรม	ch a t aa k a m^ 
ชะลอ	ch a l @@ 
ชะล้าง	ch a l aa ng^ 
ชัก	ch a k^ 
ชักจูง	ch a k^ c uu ng^ 
ชักชวน	ch a k^ ch uua n^ 
ชักนำ	ch a k^ n a m^ 
ชัด	ch a t^ 
ชัดเจน	ch a t^ c ee n^ 
ชัดแจ้ง	ch a t^ c xx ng^ 
ชัน	ch a n^ 
ชัยชนะ	ch a j^ ch a n a 
ชัยนาม	ch a j^ n aa m^ 
ชัยภูมิ	ch a j^ j a ph uu m^ 
ชัยวัฒน์	ch a j^ w a t^ 
ชั่ง	ch a ng^ 
ชั่ว	ch uua 
ชั่วคราว	ch uua khr aa w^ 
ชั่วโมง	ch uua m oo ng^ 
ชั้น	ch a n^ 
ชั้นปี	ch a n^ p ii 
ชั้นผู้ใหญ่	ch a n^ ph uu j a j^ 
ชาญ	ch aa n^ 
ชาญวิทย์	ch aa n^ w i t^ 
ชาติ	ch aa t^ 
ชาติชาย	ch aa t^ ch aa j^ 
ชาตินิยม	ch aa t^ n i j o m^ 
ชาติพันธุ์	ch aa t^ ph a n^ 
ชาติไทย	ch aa t^ th a j^ 
ชาย	ch aa j^ 
ชายคา	ch aa j^ kh aa 
ชายฝั่ง	ch aa j^ f a ng^ 
ชายเลน	ch aa j^ l ee n^ 
ชายแดน	ch aa j^ d xx n^ 
ชาว	ch aa w^ 
ชาวนา	ch aa w^ n aa 
ชาวบ้าน	ch aa w^ b aa n^ 
